#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0      455    0.152    0.326    0.231     2162    2.978
       1      427    0.142    0.274    0.195      631    2.748
       2      404    0.135    0.276    0.195     1249    2.930
       3      380    0.127    0.353    0.250     2131    3.430
       4      337    0.112    0.360    0.254     2629    4.144
       5      333    0.111    0.331    0.233     2393    2.748
       6      317    0.106    0.318    0.227     1594    3.317
       7      182    0.061    0.355    0.258     1394    4.007
       8      108    0.036    0.594    0.618      310    5.246
       9       57    0.019    0.513    0.458       10    5.277
