#Frame          align      tailrms
       1       0.0000       0.0000
       2       1.0475       0.9058
       3       1.2181       1.6768
       4       1.3867       1.8586
       5       1.2012       0.9490
       6       1.4414       1.0824
       7       1.5932       1.5301
       8       1.1266       1.4298
       9       1.2116       3.0654
      10       1.4064       1.9160
      11       1.3024       3.0586
      12       1.2295       3.0544
      13       1.3879       2.4137
      14       1.8849       2.6330
      15       1.3677       2.9789
      16       1.6409       3.1062
      17       1.4830       2.7768
      18       1.1718       3.9858
      19       1.3264       4.8630
      20       1.5274       5.7130
      21       1.2443       4.8628
      22       1.3412       5.1656
      23       1.0612       6.4079
      24       1.1377       6.5097
      25       1.2008       6.2847
      26       1.4186       6.6525
      27       1.2446       7.0760
      28       1.3156       6.6256
      29       1.1860       6.4564
      30       1.1764       7.2061
      31       1.3039       5.7604
      32       1.1647       5.0181
      33       1.3061       7.7226
      34       1.3121       5.9448
      35       1.1825       5.9823
      36       1.0935       4.9107
      37       0.9696       4.5347
      38       1.2647       5.6425
      39       1.1379       4.1861
      40       1.5604       4.8880
      41       1.4558       4.1416
      42       1.5909       4.8437
      43       1.4048       3.5073
      44       1.2707       3.5148
      45       1.1944       3.3202
      46       1.4020       2.9049
      47       1.6158       2.6505
      48       1.2993       4.4548
      49       1.2224       3.2120
      50       1.1866       3.4566
      51       1.2092       3.5970
      52       1.3345       3.5409
      53       1.1121       6.5029
      54       1.2698       7.1564
      55       1.2640       8.4132
      56       1.1691       8.1660
      57       1.1609       8.6909
      58       1.1773       8.7063
      59       1.5094       8.0478
      60       1.3291       9.2032
      61       1.2218       8.1325
      62       1.1117       8.3030
      63       1.2268       8.9245
      64       1.3728       8.3086
      65       1.4274       6.7531
      66       1.3187       4.4089
      67       1.1726       4.0064
      68       1.3354       3.7310
      69       1.3113       4.4708
      70       1.3697       7.3952
      71       1.2858       9.2396
      72       1.1484       9.4636
      73       1.2529       8.7607
      74       1.2457       9.6010
      75       1.3717       8.1550
      76       1.3320      10.3700
      77       1.3614      10.8956
      78       1.1602      10.2265
      79       1.2402      11.1978
      80       1.3206      10.8609
      81       1.3230      10.4832
      82       1.0107      10.2432
      83       1.2747      10.8216
      84       1.3571      11.0769
      85       1.5088      10.3785
      86       1.4135      11.2118
      87       1.1750      11.7210
      88       1.4835       9.1854
      89       1.5184      11.6859
      90       1.4205      12.5531
      91       1.2430      12.3986
      92       1.5913      12.4211
      93       1.4446      13.2480
      94       1.5763      11.3626
      95       1.2849      13.4241
      96       1.3681      11.7745
      97       1.3612       9.9208
      98       1.5085      10.4384
      99       1.4606      10.1648
     100       1.4756      10.5162
     101       1.6661      11.3238
     102       1.4412      10.2830
     103       1.3828      11.1161
     104       1.4037      11.1246
     105       1.1764      10.5230
     106       1.2023      12.1714
     107       1.3763      11.4963
     108       1.2196      11.2695
     109       1.2224       9.5601
     110       1.2107      10.4883
     111       1.1238      10.4131
     112       1.2171      11.1433
     113       1.2104      10.9197
     114       1.2174      10.2540
     115       1.1134       8.5002
     116       1.1837       9.9783
     117       1.1051       8.4099
     118       1.5280       7.8304
     119       1.5729       9.4903
     120       1.2504       9.5040
     121       1.2400      10.2750
     122       1.4441      11.1010
     123       1.0937       9.3955
     124       1.2745      10.5186
     125       1.2425       9.3095
     126       1.1875       9.1899
     127       1.3880      11.3482
     128       1.1098       8.9573
     129       1.2125      10.3414
     130       1.3007      11.2772
     131       1.3107      10.2815
     132       1.2697      10.6968
     133       1.4217      10.7389
     134       1.3510      11.6069
     135       1.3093      10.5480
     136       1.4689      10.4543
     137       1.5052      11.0105
     138       1.3433       9.1476
     139       1.3699       9.8264
     140       1.3691       8.0110
     141       1.4223       4.5526
     142       1.4687       3.1024
     143       1.5520       4.9664
     144       1.5972       5.7849
     145       1.6628       5.7116
     146       1.2321       5.2934
     147       1.3150       6.0204
     148       1.4202       5.9835
     149       1.5615       6.5440
     150       1.5882       7.6159
     151       1.5020       8.4596
     152       1.6530       6.4846
     153       1.6217       6.4103
     154       1.5494       6.4886
     155       1.6661       6.5968
     156       1.1951       7.8636
     157       1.2752       8.7141
     158       1.4419       8.9283
     159       1.5761       8.2849
     160       1.4751      11.3042
     161       1.4432      11.1080
     162       1.5211      10.3429
     163       1.5923      10.4710
     164       1.5316      10.5617
     165       1.2236      11.7309
     166       1.4142      10.3792
     167       1.3192      10.7670
     168       1.3144       9.5815
     169       1.7516       6.7328
     170       1.4462       5.3577
     171       1.3433       5.9718
     172       1.6950       4.8270
     173       1.4909       5.7800
     174       1.4943       8.4476
     175       1.8658       7.7321
     176       1.3803       8.0707
     177       1.5187       7.9094
     178       1.4451       6.4324
     179       1.3549       7.3638
     180       1.3152       7.1755
     181       1.3509       9.5508
     182       1.2640       9.2725
     183       1.3616       9.1593
     184       1.4308       8.5104
     185       1.4966       9.1799
     186       1.3274       9.7674
     187       1.4830       9.5399
     188       1.5142       8.3287
     189       1.3789       8.1462
     190       1.4071       9.1281
     191       1.4593      10.5630
     192       1.2832       9.9922
     193       1.4309       8.4856
     194       1.2973       8.7528
     195       1.4658       9.1520
     196       1.2412       8.6041
     197       1.5209       8.9220
     198       1.5217       9.1063
     199       1.7173       8.4851
     200       1.8878       9.6964
     201       1.7087      10.7497
     202       1.5878      10.5143
     203       1.9302      10.5865
     204       1.6571      10.8865
     205       1.3365      10.9999
     206       1.2213      11.0566
     207       1.4364       9.9921
     208       1.4247      11.6343
     209       1.4715      10.9024
     210       1.4822      10.2064
     211       1.5833       9.9486
     212       1.2803      10.2907
     213       1.8526      10.4390
     214       1.8419      10.5036
     215       1.5459      11.1481
     216       1.6705      10.1557
     217       1.5581      11.2818
     218       1.3312      11.0723
     219       1.7517       9.9738
     220       1.5862      10.4543
     221       1.5409      10.2615
     222       1.6318      10.8938
     223       1.5568      11.0031
     224       1.3899      11.2417
     225       1.2348      10.5440
     226       1.3873       9.4720
     227       1.3049      10.5519
     228       1.2362      10.3999
     229       1.3485      10.0621
     230       1.1268      11.2012
     231       1.3430      10.4701
     232       1.4115      10.7343
     233       1.1186      10.7580
     234       1.3582      10.1381
     235       1.2511      10.9399
     236       1.4839      10.0526
     237       1.4013      11.6692
     238       1.5365       8.9792
     239       1.3394      11.1377
     240       1.4673      10.1180
     241       1.3609       9.6351
     242       1.2124      10.6689
     243       1.3253      11.2147
     244       1.2513      11.4345
     245       1.6892       9.2692
     246       1.3147      10.4476
     247       1.2349      10.3816
     248       1.1411      10.5120
     249       1.2148      10.8725
     250       1.4427      10.1403
     251       1.4030      10.0108
     252       1.6614      10.5202
     253       1.2600      11.0738
     254       1.2109      10.2656
     255       1.2964      10.0541
     256       1.1436      11.2443
     257       1.2643      10.1940
     258       1.3380       9.4595
     259       1.1127      10.2099
     260       1.2254      10.8747
     261       1.2873      10.0880
     262       1.5366      10.0594
     263       1.5239      10.3271
     264       1.3871      10.3327
     265       1.2440      10.9202
     266       1.3246       9.9755
     267       1.3088      10.2821
     268       1.3368      10.3518
     269       1.6748      10.6696
     270       1.3073       9.9643
     271       1.4408       9.6720
     272       1.3708      10.3800
     273       1.4056       9.0804
     274       1.5039      10.2205
     275       1.5727      10.1746
     276       1.2590       9.4429
     277       1.3618      10.0348
     278       1.6332      10.2906
     279       1.3088       9.6486
     280       1.4797       9.5806
     281       1.3844      10.1172
     282       1.4032      10.0677
     283       1.4284      10.6791
     284       1.1793      10.7662
     285       1.2570      10.3117
     286       1.3191      10.3069
     287       1.5024      10.4705
     288       1.3202      10.9210
     289       1.4086      10.5316
     290       1.2885      11.1748
     291       1.2975      10.1182
     292       1.4011      11.3255
     293       1.4714      10.5216
     294       1.5440      10.7369
     295       1.4335      10.5149
     296       1.3879      10.5385
     297       1.7162       9.9288
     298       1.3066      10.2514
     299       1.1534      10.9881
     300       1.8294      10.3056
     301       1.5166      10.1746
     302       1.4814      11.0733
     303       1.6893      10.1619
     304       1.3840      10.2486
     305       1.5704      10.7560
     306       1.7982      10.0171
     307       2.2943      11.3137
     308       1.6954       9.9982
     309       1.7285       9.8038
     310       1.8542      11.1733
     311       1.5326       9.9646
     312       1.9022       9.9713
     313       1.6366       9.2182
     314       1.6755      10.1286
     315       1.4222       9.8857
     316       1.6681       9.5571
     317       1.6793       9.8064
     318       1.2912      10.4468
     319       1.4105       9.6784
     320       1.4583       9.5292
     321       1.7189       9.6461
     322       1.5172       9.4399
     323       1.4016      10.0048
     324       1.4301      10.1817
     325       1.3345      10.0887
     326       1.2726      10.4880
     327       1.5364       9.7613
     328       1.2687      10.6735
     329       1.2798       9.6133
     330       1.5665       9.8251
     331       1.4690       9.9317
     332       1.3426      10.2164
     333       1.2517      10.3107
     334       1.2423       9.6069
     335       1.3786      10.4604
     336       1.2555      10.6596
     337       1.2787       9.5048
     338       1.3321       9.5043
     339       1.2388       8.9677
     340       1.2476       8.8890
     341       1.3422      10.0542
     342       1.2926      10.6738
     343       1.0921       9.3551
     344       1.1718      10.2603
     345       1.1328       9.3616
     346       1.1926       8.2500
     347       1.1737       9.0299
     348       1.3167       8.6796
     349       1.1609       8.6611
     350       1.3651       8.8098
     351       1.3373       9.5670
     352       1.2028       9.6011
     353       1.2897       8.6864
     354       1.2609       8.3619
     355       1.1124       8.2619
     356       1.1152       7.8095
     357       1.2566       8.3323
     358       1.3028       8.2022
     359       1.2399       8.2132
     360       1.2596       8.1295
     361       1.1388       8.4063
     362       1.1607       6.9338
     363       1.0933       6.8481
     364       1.2944       6.5725
     365       1.2503       5.6581
     366       1.2351       6.9270
     367       1.1332       7.5842
     368       1.1265       6.0542
     369       1.1181       7.6997
     370       1.2970       6.7957
     371       1.4064       6.8487
     372       1.2364       7.8579
     373       1.4160       8.0461
     374       1.1759       7.9122
     375       1.2256       7.3766
     376       1.3818       7.0851
     377       1.3314       7.6742
     378       1.4414       7.5588
     379       1.5230       7.5280
     380       1.2666       7.9094
     381       1.4534       6.6450
     382       1.2259       8.0939
     383       1.3946       7.8232
     384       1.4540       7.5313
     385       1.3921       6.8603
     386       1.5014       7.7602
     387       1.5036       7.0905
     388       1.6002       7.5839
     389       1.2793       7.7996
     390       1.3403       8.2610
     391       1.5865       8.1978
     392       1.3911       8.0648
     393       1.4521       9.2493
     394       1.6763       7.9597
     395       1.2391       7.9693
     396       1.1295       7.9987
     397       1.2230       8.3505
     398       1.2555       9.4823
     399       1.1342       8.5671
     400       1.2221       8.2780
     401       1.2607       7.8573
     402       1.3067       8.0674
     403       1.2304       8.5044
     404       1.3786       7.5519
     405       1.6225       8.0357
     406       1.6544       7.9675
     407       1.5045       8.0325
     408       1.4251       6.8761
     409       1.3797       7.0322
     410       1.5284       7.7384
     411       1.6307       7.4837
     412       1.3789       7.0292
     413       1.5561       6.9148
     414       1.3454       7.3558
     415       1.3854       7.6240
     416       1.2109       7.7491
     417       1.3181       7.2507
     418       1.5819       6.9527
     419       1.4873       7.5459
     420       1.4538       7.8966
     421       1.4312       8.6428
     422       1.3397       7.6093
     423       1.2361       8.3039
     424       1.2857       8.5644
     425       1.4340       6.8533
     426       1.3998       8.0242
