#Frame          align      tailrms
     427       1.5428       8.2251
     428       1.6322       7.1058
     429       1.6441       6.7985
     430       1.5291       8.0367
     431       1.8003       8.1331
     432       1.2998       7.9781
     433       1.3513       7.5283
     434       1.3554       8.3973
     435       1.2116       8.2826
     436       1.2559       7.3536
     437       1.3345       7.8958
     438       1.2523       8.9199
     439       1.1296       8.8412
     440       1.2300       7.4705
     441       1.1804       7.7206
     442       1.1895       7.8209
     443       1.2397       7.9297
     444       1.2531       7.9656
     445       1.2286       8.3842
     446       1.1945       8.0102
     447       1.2264       8.5623
     448       1.2178       7.8262
     449       1.2518       7.2747
     450       1.5582       8.6224
     451       1.1802       7.9755
     452       1.2726       7.4570
     453       1.0920       8.2944
     454       1.0711       7.4419
     455       1.1592       7.2268
     456       1.2260       7.8710
     457       1.0689       7.3049
     458       1.2372       7.6983
     459       1.2045       8.9595
     460       1.1604       9.8566
     461       1.0513       8.9235
     462       1.1962       9.1427
     463       1.2445       9.0440
     464       1.1612       8.7492
     465       1.1148       8.5201
     466       1.1431       8.9603
     467       1.0423       8.8212
     468       1.1711       8.0576
     469       1.0406       8.0388
     470       1.1678       7.8151
     471       1.3622       7.6346
     472       1.2428       7.8510
     473       1.3348       7.8892
     474       1.3757       7.3738
     475       1.2252       7.8420
     476       1.0293       7.6871
     477       1.2778       8.0034
     478       1.1132       9.2912
     479       1.3173       7.3654
     480       1.4505       7.4123
     481       1.3796       8.4003
     482       1.4898       8.4858
     483       1.2680       7.2735
     484       1.2195       8.2416
     485       1.1813       8.9701
     486       1.1025       7.4830
     487       1.2635       8.0270
     488       1.3155       8.1219
     489       1.2442       7.6118
     490       1.2552       7.9871
     491       1.1410       7.6551
     492       1.2194       7.5410
     493       1.1277       7.9624
     494       1.3523       7.8632
     495       1.2711       8.7463
     496       1.3228       8.3678
     497       1.3815       7.2289
     498       1.4524       6.6353
     499       1.1340       6.4154
     500       1.4973       5.0616
     501       1.5506       5.3839
     502       1.1962       7.0525
     503       1.0023       7.0716
     504       1.2907       6.5778
     505       1.3852       5.4242
     506       1.2351       4.6947
     507       1.1777       5.9381
     508       1.1080       4.4821
     509       1.0730       5.4549
     510       1.1707       6.1572
     511       1.1724       5.4106
     512       1.3578       5.1679
     513       1.0895       5.6768
     514       1.3898       4.9762
     515       1.1731       5.2205
     516       1.0190       5.9649
     517       1.2537       5.3221
     518       1.1271       5.0897
     519       1.2159       5.9361
     520       1.5618       5.5605
     521       1.2405       5.3148
     522       1.1520       5.4587
     523       1.3367       5.1321
     524       1.3057       5.5977
     525       1.2454       6.2337
     526       1.3431       6.2821
     527       1.5414       6.6258
     528       1.2673       5.9066
     529       1.3450       5.8844
     530       1.2940       5.7957
     531       1.3071       5.3017
     532       1.2308       5.1631
     533       1.6155       4.9243
     534       1.2950       5.5865
     535       1.2824       4.8820
     536       1.1521       5.3246
     537       1.2411       4.8869
     538       1.3326       4.5103
     539       1.1743       5.0867
     540       1.3265       4.8401
     541       1.3070       6.2893
     542       1.3032       6.2380
     543       1.2526       6.3047
     544       1.4035       5.6583
     545       1.2241       5.8060
     546       0.9944       6.9658
     547       1.0997       6.6468
     548       1.3339       5.8669
     549       0.9651       5.7623
     550       1.1289       5.4782
     551       1.1005       4.8538
     552       1.2070       5.6575
     553       1.1690       5.3961
     554       1.3942       5.1444
     555       1.2088       6.7109
     556       1.3601       6.1249
     557       1.1758       5.9772
     558       1.2843       5.3264
     559       1.2741       5.7435
     560       1.2919       4.8200
     561       1.3787       5.1272
     562       1.1244       4.8755
     563       1.3662       5.4765
     564       1.4348       5.7550
     565       1.3456       6.0489
     566       1.2192       5.0706
     567       1.4946       5.1104
     568       1.3997       4.9834
     569       1.3545       5.1405
     570       1.4046       6.1558
     571       1.4591       4.9451
     572       1.5249       5.0856
     573       1.4732       4.7321
     574       1.3152       4.9909
     575       1.1927       5.4098
     576       1.3603       6.0051
     577       1.2535       6.1964
     578       1.1773       6.3431
     579       1.2498       5.0274
     580       1.3735       6.0420
     581       1.2793       4.9895
     582       1.2621       6.2383
     583       1.1396       6.0952
     584       1.1466       6.2512
     585       1.0719       5.5048
     586       1.3203       5.4352
     587       1.2023       5.8763
     588       1.1706       4.6709
     589       1.1848       4.1674
     590       1.4270       5.3804
     591       1.3069       5.2321
     592       1.0955       6.2264
     593       1.1963       5.7128
     594       1.1569       6.2487
     595       1.3502       6.1259
     596       1.2183       5.4269
     597       1.2145       4.6002
     598       1.2407       5.4598
     599       1.3089       5.1494
     600       1.1764       5.0105
     601       1.2642       6.0977
     602       1.3694       4.7247
     603       1.2424       6.3146
     604       1.3797       5.3811
     605       1.2098       5.0233
     606       1.3808       5.3907
     607       1.4142       6.0410
     608       1.2348       6.1073
     609       1.4150       6.7901
     610       1.6021       6.4419
     611       1.3732       6.0966
     612       1.5239       5.3864
     613       1.2528       5.6789
     614       1.2989       7.2426
     615       1.4495       6.2863
     616       1.2022       5.5946
     617       1.2628       7.0371
     618       1.1053       6.0169
     619       1.0203       6.1488
     620       1.2221       6.3811
     621       1.1079       6.0410
     622       0.8818       6.8589
     623       1.3506       5.8219
     624       1.2597       6.0920
     625       1.2656       7.2316
     626       1.1122       6.6364
     627       1.0994       6.2585
     628       1.1097       6.2142
     629       1.2509       5.4961
     630       1.1553       5.2492
     631       1.2759       6.0168
     632       1.1396       6.7325
     633       1.2168       5.0041
     634       1.1546       6.6051
     635       1.1005       6.4122
     636       1.1187       5.5678
     637       1.1007       5.6243
     638       1.0613       5.7455
     639       1.1901       5.7383
     640       1.1098       6.5602
     641       1.2444       5.6119
     642       1.1195       6.6054
     643       1.1356       5.6272
     644       1.2227       5.6529
     645       1.2143       5.9001
     646       1.1831       6.1370
     647       1.1431       5.8681
     648       1.4731       5.5886
     649       1.5805       5.8995
     650       1.3475       5.5207
     651       1.1213       6.8685
     652       1.2673       6.3374
     653       1.1875       6.1065
     654       1.1541       5.9556
     655       1.1586       5.8070
     656       1.1438       5.5049
     657       1.0355       6.3856
     658       1.4821       5.3787
     659       1.0839       5.7321
     660       1.2058       5.7153
     661       1.2975       6.3116
     662       1.2736       6.8421
     663       1.2751       6.2834
     664       1.1388       6.8608
     665       1.3000       5.2283
     666       1.3212       4.8939
     667       1.2832       5.4284
     668       1.2910       5.2466
     669       1.1143       5.2003
     670       1.1256       5.1962
     671       1.2199       5.3361
     672       1.2530       4.4631
     673       1.3546       5.2401
     674       1.2532       5.2570
     675       1.2386       5.0050
     676       1.3375       5.3626
     677       1.3105       4.6979
     678       1.2241       5.1119
     679       1.3487       5.2234
     680       1.1748       5.8919
     681       1.4199       5.3472
     682       1.3282       4.9501
     683       1.3524       4.5344
     684       1.3995       6.0802
     685       1.2721       5.7674
     686       1.2905       5.9942
     687       1.3195       4.4770
     688       1.1403       5.9454
     689       1.3203       5.3269
     690       1.2009       6.0513
     691       1.2286       5.1887
     692       1.0755       5.4096
     693       1.1152       6.5000
     694       1.2911       6.0379
     695       1.1018       5.1966
     696       1.1292       6.2971
     697       1.3853       4.0352
     698       1.1641       4.9973
     699       1.1339       5.1566
     700       1.2411       5.5503
     701       1.2756       5.5182
     702       1.1576       5.8982
     703       1.4651       3.8407
     704       1.2400       4.4358
     705       1.1985       5.7161
     706       1.2403       4.0066
     707       1.3820       6.0473
     708       1.2626       5.6542
     709       1.2907       5.7393
     710       1.1774       5.4300
     711       1.3517       5.4266
     712       1.2549       6.0976
     713       1.2530       5.6587
     714       1.1056       5.2833
     715       1.2272       5.7072
     716       1.1682       6.0596
     717       1.0682       6.7165
     718       1.1850       5.8738
     719       1.0488       5.9122
     720       1.2790       5.7369
     721       1.1086       5.6328
     722       1.2924       5.2451
     723       1.1360       6.5440
     724       1.1388       6.2447
     725       1.1113       5.2146
     726       1.0216       5.3855
     727       1.1950       5.0660
     728       1.1549       5.3190
     729       1.0929       6.4931
     730       1.0948       5.5030
     731       1.1530       5.1008
     732       1.3777       5.0683
     733       1.2265       5.4682
     734       1.4917       5.1326
     735       1.2937       4.9441
     736       1.2766       4.6343
     737       1.1459       6.1661
     738       1.2677       5.0546
     739       1.3170       4.9082
     740       1.1808       5.0230
     741       1.4194       5.3540
     742       1.5266       5.8534
     743       1.3072       4.7984
     744       1.3503       6.0395
     745       1.4033       5.3702
     746       1.5339       5.3011
     747       1.4545       5.3925
     748       1.7633       5.4804
     749       1.6692       4.4918
     750       1.7766       5.0009
     751       1.4085       5.9091
     752       1.5795       4.7637
     753       1.6919       4.9449
     754       1.7975       4.5013
     755       1.9195       5.0489
     756       2.0124       4.7916
     757       1.6245       5.5601
     758       1.8846       5.5423
     759       1.7165       6.2212
     760       1.5281       5.6772
     761       1.6987       5.8354
     762       1.7926       5.9370
     763       1.6133       4.9826
     764       1.9681       4.9220
     765       1.6398       5.7695
     766       1.4521       5.9450
     767       1.5547       6.3608
     768       1.5524       6.9439
     769       1.7806       5.8000
     770       1.8291       5.9533
     771       1.5801       5.7800
     772       1.8289       5.1553
     773       1.6058       6.5660
     774       1.8818       6.0576
     775       1.7711       6.5272
     776       1.9301       6.0998
     777       1.5326       5.7511
     778       1.3212       6.0847
     779       1.7686       5.6723
     780       2.1150       6.2898
     781       1.7632       5.9974
     782       1.8610       4.7040
     783       1.9275       4.5528
     784       1.3193       5.4846
     785       1.5352       5.0136
     786       1.6182       5.8002
     787       1.5031       5.5271
     788       1.5771       5.6474
     789       1.7772       5.2368
     790       1.5961       5.0094
     791       1.6888       5.6688
     792       1.7504       6.0308
     793       1.8387       7.2261
     794       1.3957       4.7887
     795       1.6154       4.6314
     796       1.3688       5.6098
     797       1.4490       5.0836
     798       1.5805       5.2057
     799       1.3910       6.2198
     800       1.5088       6.0610
     801       1.4374       4.9671
     802       1.1940       6.2393
     803       1.3106       5.3761
     804       1.3181       5.5017
     805       1.3461       5.6615
     806       1.4957       5.4559
     807       1.2447       5.4653
     808       1.5426       5.3252
     809       1.4535       6.3034
     810       1.2458       5.0356
     811       1.3375       6.2678
     812       1.3754       6.7210
     813       1.3550       5.8336
     814       1.3865       5.9593
     815       1.5514       5.3057
     816       1.2674       5.7999
     817       1.2264       5.4544
     818       1.3531       6.1605
     819       1.3286       5.6484
     820       1.3126       6.0321
     821       1.4244       5.7479
     822       1.3298       6.0247
     823       1.2567       6.5611
     824       1.2654       5.3433
     825       1.2361       5.7611
     826       1.3286       5.3480
     827       1.1545       6.7737
     828       1.2872       6.0344
     829       1.1673       6.4485
     830       1.1823       5.5939
     831       1.2585       6.0278
     832       1.2079       5.1278
     833       1.1970       6.7987
     834       1.1632       6.6083
     835       1.1063       5.8471
     836       1.1856       5.2905
     837       1.1886       7.4297
     838       1.3890       6.0427
     839       1.1757       6.1232
     840       1.2959       7.8711
     841       1.1671       6.7393
     842       1.2619       6.9292
     843       1.1617       5.4740
     844       1.2593       5.6593
     845       1.3094       5.7379
     846       1.2336       6.5335
     847       1.2513       7.1026
     848       1.3082       7.1971
     849       1.1035       6.4222
     850       1.4385       6.1389
     851       1.1799       6.7498
     852       1.2504       6.6649
     853       1.2727       7.0513
     854       1.4055       6.9174
     855       1.3211       5.7806
     856       1.3908       6.6511
     857       1.3260       7.1879
     858       1.3547       6.0773
     859       1.2047       6.1713
     860       1.2528       6.9308
     861       1.2121       6.0843
     862       1.1755       5.7565
     863       1.1673       5.5454
     864       1.3634       7.1032
     865       1.4171       6.2781
     866       1.3445       5.5616
     867       1.3591       5.5838
     868       1.2873       7.1840
     869       1.3717       5.8722
     870       1.1362       5.5721
     871       1.3185       6.4307
     872       1.3327       5.8063
     873       1.2763       6.4461
     874       1.1426       5.3149
     875       1.3124       6.4070
     876       1.1837       6.0695
     877       1.3306       6.5477
     878       1.1669       5.7284
     879       1.3215       5.0995
     880       1.1636       5.6000
     881       1.3340       6.5240
     882       1.1492       6.5200
     883       1.4024       5.2317
     884       1.2063       6.2493
     885       1.2371       6.0978
     886       1.1683       6.8791
     887       1.3179       6.0942
     888       1.1081       6.1245
     889       1.3941       6.2102
     890       1.1258       6.7553
     891       1.4031       6.0543
     892       1.3109       6.4734
     893       1.3135       5.9319
     894       1.3125       6.0565
     895       1.2473       6.6365
     896       1.2742       5.2382
     897       1.2741       5.9124
     898       1.3704       5.9832
     899       1.0924       6.2816
     900       1.4427       7.0504
     901       1.4455       5.9666
     902       1.2536       5.2167
     903       1.1163       5.6765
     904       1.3901       6.0087
     905       1.1893       5.8266
     906       1.2128       5.8735
     907       1.1301       6.0005
     908       1.1473       6.2581
     909       1.2364       5.5244
     910       1.2678       5.9997
     911       1.3163       5.4209
     912       1.1946       5.7840
     913       1.0671       6.4040
     914       1.1414       5.8119
     915       1.3603       5.5929
     916       1.2274       6.7862
     917       1.1831       6.6703
     918       1.2865       6.1277
     919       1.2801       6.4425
     920       1.3166       5.4714
     921       1.3522       6.3911
     922       1.1898       6.0020
     923       1.1315       5.5526
     924       1.1372       6.3828
     925       1.1993       6.9189
     926       1.2151       6.2332
     927       1.2193       5.9303
     928       1.2331       6.1241
     929       1.3477       6.1034
     930       1.1261       6.2099
     931       1.1520       5.9327
     932       1.3436       5.0989
     933       1.3698       5.2520
     934       1.4799       6.2275
     935       1.2130       5.9304
     936       1.0700       5.3572
     937       1.3659       5.9615
     938       1.2417       4.7016
     939       1.2817       5.7101
     940       1.2173       5.8873
     941       1.1477       6.5091
     942       1.0124       6.1990
     943       1.0997       6.3880
     944       1.1540       6.0500
     945       1.1708       6.4917
     946       1.1153       6.5209
     947       1.1392       6.1407
     948       1.2535       6.1551
     949       1.2754       6.7192
     950       1.3488       5.8705
     951       1.3461       5.3475
     952       1.1578       6.0381
     953       1.1548       6.2590
     954       1.1825       6.1292
     955       1.1797       5.3774
     956       1.1287       6.0794
     957       1.1923       5.7613
     958       1.2065       5.4340
     959       1.1671       5.9823
     960       1.1994       5.7935
     961       1.4136       6.2183
     962       1.2427       6.3753
     963       1.2140       6.5426
     964       1.2575       5.4026
     965       1.3874       5.7910
     966       1.2003       5.7075
     967       1.2814       6.5931
     968       1.3675       5.3326
     969       1.3585       5.5431
     970       1.4331       5.8849
     971       1.1092       7.0063
     972       1.2462       5.0165
     973       1.0920       5.3795
     974       1.2722       6.4859
     975       1.2500       4.5234
     976       1.5381       6.4338
     977       1.1037       5.7812
     978       1.3335       5.0898
     979       1.3210       5.8516
     980       1.4026       6.2914
     981       1.2647       6.0590
     982       1.3113       5.8478
     983       1.2097       5.7052
     984       1.2559       6.4353
     985       1.3158       6.6727
     986       1.5065       6.6089
     987       1.2945       5.5071
     988       1.1608       5.5501
     989       1.1129       5.4059
     990       1.2819       5.4494
     991       1.1852       6.5937
     992       1.2451       6.1911
     993       1.1901       6.0530
     994       1.1264       6.0859
     995       1.2037       4.4757
     996       1.3476       5.8667
     997       1.1815       6.3797
     998       1.2897       6.2286
     999       1.2857       5.7763
    1000       1.4585       5.8507
    1001       0.7512       1.2037
    1002       0.9414       1.6851
    1003       0.9829       2.1832
    1004       1.0321       2.0254
    1005       1.0340       1.7896
    1006       1.0627       1.7890
    1007       0.9302       1.8539
    1008       1.1481       1.9506
    1009       0.8715       1.6960
    1010       0.9835       1.8122
    1011       1.3317       1.8262
    1012       0.9780       2.3331
    1013       1.1861       1.0060
    1014       1.0320       2.0085
    1015       1.2423       1.6681
    1016       1.1297       2.0605
    1017       1.1598       2.0552
    1018       1.0395       1.6737
    1019       1.1808       1.6737
    1020       0.9775       1.8500
    1021       0.9200       2.1349
    1022       0.9556       2.1063
    1023       1.0776       1.8698
    1024       1.0131       2.0187
    1025       1.0738       2.3621
    1026       1.1287       2.6441
    1027       1.2613       2.2658
    1028       1.1751       2.3981
    1029       1.2161       2.0716
    1030       1.1906       1.8325
    1031       1.2216       1.6433
    1032       1.2900       2.3635
    1033       1.3476       2.6136
    1034       1.4442       3.0691
    1035       1.4327       2.0914
    1036       1.3865       2.5167
    1037       1.5046       3.9852
    1038       1.5199       6.2656
    1039       1.5699       6.4189
    1040       1.4441       4.9103
    1041       1.1798       4.5474
    1042       1.3751       5.9084
    1043       1.1790       5.4045
    1044       1.3207       4.5032
    1045       1.3051       4.9081
    1046       1.2731       8.9252
    1047       1.2935       6.5294
    1048       1.2427       9.1445
    1049       1.3955       7.2171
    1050       1.2107       7.2996
    1051       1.3951       5.3019
    1052       1.3336       4.2692
    1053       1.3101       3.5257
    1054       1.5369       5.4438
    1055       1.4803       5.2882
    1056       1.6441       4.4255
    1057       1.2997       3.9848
    1058       1.6783       5.9279
    1059       1.4273       5.4080
    1060       1.6437       4.3055
    1061       1.4582       4.8077
    1062       1.1533       3.4339
    1063       1.4329       4.0237
    1064       1.4999       4.6391
    1065       1.4397       5.0056
    1066       1.3773       4.1857
    1067       1.5779       3.8282
    1068       1.5318       3.4419
    1069       1.2858       4.6331
